question_num,answer_num,image_path,question_he,question_en,concept,prompt_rationale,prompt_text,vlm_answer
1,1,/home/alex/systems-thinking-vlm/dataset/images/1_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" העבודה הושלמה בהצלחה""","Explain why you chose this image as reflecting the sentence ""Work completed successfully""",Work completed successfully,"This concept is about how multiple agents or components cooperate to accomplish a shared goal. The prompt asks the model to identify the actors, their roles, and the coordination that makes completion possible.","This image was chosen to illustrate the idea that a task was completed successfully through cooperation.
Answer these in one sentence: Who or what are the actors in this image, how do they divide their roles, and what does their joint effort achieve?",two military personnel preparing to load a missile into a fighter jet
1,2,/home/alex/systems-thinking-vlm/dataset/images/1_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" העבודה הושלמה בהצלחה""","Explain why you chose this image as reflecting the sentence ""Work completed successfully""",Work completed successfully,"This concept is about how multiple agents or components cooperate to accomplish a shared goal. The prompt asks the model to identify the actors, their roles, and the coordination that makes completion possible.","This image was chosen to illustrate the idea that a task was completed successfully through cooperation.
Answer these in one sentence: Who or what are the actors in this image, how do they divide their roles, and what does their joint effort achieve?",two trucks and a bulldozer in the field
2,1,/home/alex/systems-thinking-vlm/dataset/images/2_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט ""ההחלטה התקבלה""","Explain why you chose this picture as reflecting the sentence ""The decision has been made""",The decision has been made,"Decisions in systems thinking involve feedback, deliberation, and consensus among multiple stakeholders. The prompt probes the social process visible in the image rather than just 'people meeting'.","This image illustrates the systems thinking idea that a collective decision has been reached.
In one sentence: What social or organizational process is visible here, and what signals in the image indicate that a shared conclusion was reached?",a group of people are sitting around a table and talking
2,2,/home/alex/systems-thinking-vlm/dataset/images/2_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט ""ההחלטה התקבלה""","Explain why you chose this picture as reflecting the sentence ""The decision has been made""",The decision has been made,"Decisions in systems thinking involve feedback, deliberation, and consensus among multiple stakeholders. The prompt probes the social process visible in the image rather than just 'people meeting'.","This image illustrates the systems thinking idea that a collective decision has been reached.
In one sentence: What social or organizational process is visible here, and what signals in the image indicate that a shared conclusion was reached?",a group of people shake hands and applaud
3,1,/home/alex/systems-thinking-vlm/dataset/images/3_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" הילד למד שיעור חשוב  ""","Explain why you chose this picture as reflecting the sentence ""The child has learned an important lesson""",The child has learned an important lesson,"Learning is a feedback-driven process shaped by environment, mentors, and peers. The prompt asks the model to identify the learning dynamic rather than just 'kids studying'.","In systems thinking, learning emerges from interaction with others and the environment.
In one sentence: What interaction or relationship in this image enables learning, and what clue shows that understanding has been gained?","the children are working together on a project, and the teacher is helping them"
3,2,/home/alex/systems-thinking-vlm/dataset/images/3_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" הילד למד שיעור חשוב  ""","Explain why you chose this picture as reflecting the sentence ""The child has learned an important lesson""",The child has learned an important lesson,"Learning is a feedback-driven process shaped by environment, mentors, and peers. The prompt asks the model to identify the learning dynamic rather than just 'kids studying'.","In systems thinking, learning emerges from interaction with others and the environment.
In one sentence: What interaction or relationship in this image enables learning, and what clue shows that understanding has been gained?",the mother and daughter are working together on a project
4,1,/home/alex/systems-thinking-vlm/dataset/images/4_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט ""  המערכת האקולוגית מתפקדת היטב  ""","Explain why you chose this image as reflecting the sentence ""The ecosystem is functioning well""",The ecosystem is functioning well,"A well-functioning ecosystem depends on interdependent parts and feedback loops. The prompt asks for the interdependencies visible in the image, not just a description of what is there.","A well-functioning ecosystem relies on the interdependence of its parts.
In one sentence: What two or more elements in this image depend on each other, and how does their interaction keep the system healthy?",solar panel and worker in field of work with solar panel
4,2,/home/alex/systems-thinking-vlm/dataset/images/4_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט ""  המערכת האקולוגית מתפקדת היטב  ""","Explain why you chose this image as reflecting the sentence ""The ecosystem is functioning well""",The ecosystem is functioning well,"A well-functioning ecosystem depends on interdependent parts and feedback loops. The prompt asks for the interdependencies visible in the image, not just a description of what is there.","A well-functioning ecosystem relies on the interdependence of its parts.
In one sentence: What two or more elements in this image depend on each other, and how does their interaction keep the system healthy?","bee and blue flower, a well-functioning ecosystem"
5,1,/home/alex/systems-thinking-vlm/dataset/images/5_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט ""   מערכות דומות   "" ?","Explain why you chose this image as reflecting the sentence ""similar systems""?",similar systems,"'Similar systems' in systems thinking means structural isomorphism: two different-looking systems share the same underlying organization. The prompt pushes the model to compare structures, not just appearances.","In systems thinking, 'similar systems' means two very different things share the same underlying structure or pattern of relationships.
In one sentence: What two systems or structures appear in this image, and what organizational pattern do they share despite looking different?","the city and the forest, and the relationship between them"
5,2,/home/alex/systems-thinking-vlm/dataset/images/5_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט ""   מערכות דומות   "" ?","Explain why you chose this image as reflecting the sentence ""similar systems""?",similar systems,"'Similar systems' in systems thinking means structural isomorphism: two different-looking systems share the same underlying organization. The prompt pushes the model to compare structures, not just appearances.","In systems thinking, 'similar systems' means two very different things share the same underlying structure or pattern of relationships.
In one sentence: What two systems or structures appear in this image, and what organizational pattern do they share despite looking different?","bees and honeycombs, a similar system"
6,1,/home/alex/systems-thinking-vlm/dataset/images/6_1.png,"סבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט ""    הקבוצה הצליחה להתקדם לעבר היעד     ""","Explain why you chose this image as reflecting the sentence ""The group was able to advance towards the goal""",The group was able to advance towards the goal,"Collective progress requires synchronized effort and a shared direction. The prompt targets what makes the group move as a unit, not just 'people walking together'.","This image shows collective progress toward a shared goal — a key concept in systems thinking.
In one sentence: What synchronized behavior or shared direction do the members of the group show, and what obstacle or challenge are they overcoming together?",a group of hikers walking down a trail
6,2,/home/alex/systems-thinking-vlm/dataset/images/6_2.png,"סבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט ""    הקבוצה הצליחה להתקדם לעבר היעד     ""","Explain why you chose this image as reflecting the sentence ""The group was able to advance towards the goal""",The group was able to advance towards the goal,"Collective progress requires synchronized effort and a shared direction. The prompt targets what makes the group move as a unit, not just 'people walking together'.","This image shows collective progress toward a shared goal — a key concept in systems thinking.
In one sentence: What synchronized behavior or shared direction do the members of the group show, and what obstacle or challenge are they overcoming together?",a group of people rowing together in a boat
7,1,/home/alex/systems-thinking-vlm/dataset/images/7_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט ""    הדרך שבה אני מבין את המציאות משפיעה על מה שאני רואה   ""","Explain why you chose this image as reflecting the sentence ""The way I understand reality affects what I see""",The way I understand reality affects what I see,This is the 'mental models' concept: our internal representation of the world filters and shapes what we perceive. The prompt asks for a concrete visual demonstration of that filter or perspective shift.,"In systems thinking, our mental model of the world shapes what we notice and how we interpret it.
In one sentence: What visual element in this image represents the idea that the observer's perspective or inner model changes what they perceive?",a mirror in front of a man in a lab coat
7,2,/home/alex/systems-thinking-vlm/dataset/images/7_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט ""    הדרך שבה אני מבין את המציאות משפיעה על מה שאני רואה   ""","Explain why you chose this image as reflecting the sentence ""The way I understand reality affects what I see""",The way I understand reality affects what I see,This is the 'mental models' concept: our internal representation of the world filters and shapes what we perceive. The prompt asks for a concrete visual demonstration of that filter or perspective shift.,"In systems thinking, our mental model of the world shapes what we notice and how we interpret it.
In one sentence: What visual element in this image represents the idea that the observer's perspective or inner model changes what they perceive?",gears and cogs in a circle
8,1,/home/alex/systems-thinking-vlm/dataset/images/8_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט ""    כשאני מנסה להבין את מה שקורה לפעמים אני רואה את הדברים אחרת   ""","Explain why you chose this image as reflecting the sentence ""When I try to understand what is happening sometimes I see things differently""",When I try to understand what is happening sometimes I see things differently,This concept is about the cognitive shift that happens when we step back and look at a situation from a new angle. The prompt asks for the dual-interpretation or contrast visible in the image.,"This image illustrates the idea that trying to understand a situation can reveal it in a completely new way.
In one sentence: How does this image present two different readings or perspectives of the same scene, and what triggers the shift between them?",the fog in the background is a reflection of the mist in the sky
8,2,/home/alex/systems-thinking-vlm/dataset/images/8_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט ""    כשאני מנסה להבין את מה שקורה לפעמים אני רואה את הדברים אחרת   ""","Explain why you chose this image as reflecting the sentence ""When I try to understand what is happening sometimes I see things differently""",When I try to understand what is happening sometimes I see things differently,This concept is about the cognitive shift that happens when we step back and look at a situation from a new angle. The prompt asks for the dual-interpretation or contrast visible in the image.,"This image illustrates the idea that trying to understand a situation can reveal it in a completely new way.
In one sentence: How does this image present two different readings or perspectives of the same scene, and what triggers the shift between them?","the spider web is a spider web, but it's not a spider"
9,1,/home/alex/systems-thinking-vlm/dataset/images/9_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט ""  האדם משפיע על העולם סביבו   ""","Explain why you chose this image as reflecting the sentence ""Man affects the world around him""",Man affects the world around him,Human impact in systems thinking includes both intended actions and feedback loops / unintended consequences. The prompt asks for the causal chain: what the person does and what changes in the world.,"In systems thinking, every human action ripples through the system and creates change beyond its immediate target.
In one sentence: What action does the person or people in this image take, and what broader effect on the surrounding world does it cause or symbolize?",a hand holding a globe vector | price 1 credit usd $1
9,2,/home/alex/systems-thinking-vlm/dataset/images/9_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט ""  האדם משפיע על העולם סביבו   ""","Explain why you chose this image as reflecting the sentence ""Man affects the world around him""",Man affects the world around him,Human impact in systems thinking includes both intended actions and feedback loops / unintended consequences. The prompt asks for the causal chain: what the person does and what changes in the world.,"In systems thinking, every human action ripples through the system and creates change beyond its immediate target.
In one sentence: What action does the person or people in this image take, and what broader effect on the surrounding world does it cause or symbolize?",planting a tree in the park with friends and family
10,1,/home/alex/systems-thinking-vlm/dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""",Change is made,"'Change is made' in systems thinking is about transformation as a process rather than an event: accumulation, stages, before-and-after. The prompt asks the model to identify the transformation dynamic.","In systems thinking, change is a gradual process: stages accumulate until a new state emerges.
In one sentence: What transformation or contrast between states is visible in this image, and what does it suggest about how change happens over time?",the image shows a progression of stages from young to old
10,2,/home/alex/systems-thinking-vlm/dataset/images/10_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""",Change is made,"'Change is made' in systems thinking is about transformation as a process rather than an event: accumulation, stages, before-and-after. The prompt asks the model to identify the transformation dynamic.","In systems thinking, change is a gradual process: stages accumulate until a new state emerges.
In one sentence: What transformation or contrast between states is visible in this image, and what does it suggest about how change happens over time?",the image shows a flower in different stages of growth
