stem,question_num,answer_num,participant_num,image_path,question_he,question_en,full_prompt,vlm_raw_answer_en,used_fallback,fallback_prompt,vlm_answer_en,vlm_answer_he,subject_answer_he,similarity,similarity_percent,comparison_method,vlm_model,embed_model,he_en_model,en_he_model,device,timestamp
10_1_11,10,1,11,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert.
Concept to illustrate: ""Change is made""
Task: Examine this image carefully. In one sentence, describe specific visual elements you observe in the image and explain how they demonstrate the concept above.
Important: Do NOT restate or rephrase ""Change is made"". Name what you actually see and connect it to the concept.
Answer:",the image shows a group of people in different stages of life,False,,the image shows a group of people in different stages of life,התמונה מראה קבוצת אנשים בשלבים שונים של החיים,השינוי ניכר לעין,0.28396880626678467,28.4,multilingual semantic embedding cosine similarity,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T09:58:37
10_1_14,10,1,14,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert.
Concept to illustrate: ""Change is made""
Task: Examine this image carefully. In one sentence, describe specific visual elements you observe in the image and explain how they demonstrate the concept above.
Important: Do NOT restate or rephrase ""Change is made"". Name what you actually see and connect it to the concept.
Answer:",the image shows a group of people in different stages of life,False,,the image shows a group of people in different stages of life,התמונה מראה קבוצת אנשים בשלבים שונים של החיים,אבולציה של אנשים,0.3761636018753052,37.62,multilingual semantic embedding cosine similarity,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T09:58:45
10_1_21,10,1,21,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert.
Concept to illustrate: ""Change is made""
Task: Examine this image carefully. In one sentence, describe specific visual elements you observe in the image and explain how they demonstrate the concept above.
Important: Do NOT restate or rephrase ""Change is made"". Name what you actually see and connect it to the concept.
Answer:",the image shows a group of people in different stages of life,False,,the image shows a group of people in different stages of life,התמונה מראה קבוצת אנשים בשלבים שונים של החיים,קצב היזדקנות של בן אדם,0.40686866641044617,40.69,multilingual semantic embedding cosine similarity,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T09:58:51
10_1_22,10,1,22,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert.
Concept to illustrate: ""Change is made""
Task: Examine this image carefully. In one sentence, describe specific visual elements you observe in the image and explain how they demonstrate the concept above.
Important: Do NOT restate or rephrase ""Change is made"". Name what you actually see and connect it to the concept.
Answer:",the image shows a group of people in different stages of life,False,,the image shows a group of people in different stages of life,התמונה מראה קבוצת אנשים בשלבים שונים של החיים,כי רואים את השינוי וההתפתחות של האדם,0.4077213406562805,40.77,multilingual semantic embedding cosine similarity,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T09:58:57
10_1_24,10,1,24,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert.
Concept to illustrate: ""Change is made""
Task: Examine this image carefully. In one sentence, describe specific visual elements you observe in the image and explain how they demonstrate the concept above.
Important: Do NOT restate or rephrase ""Change is made"". Name what you actually see and connect it to the concept.
Answer:",the image shows a group of people in different stages of life,False,,the image shows a group of people in different stages of life,התמונה מראה קבוצת אנשים בשלבים שונים של החיים,האדם הולך וגדל,0.4574032127857208,45.74,multilingual semantic embedding cosine similarity,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T09:59:03
10_1_26,10,1,26,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert.
Concept to illustrate: ""Change is made""
Task: Examine this image carefully. In one sentence, describe specific visual elements you observe in the image and explain how they demonstrate the concept above.
Important: Do NOT restate or rephrase ""Change is made"". Name what you actually see and connect it to the concept.
Answer:",the image shows a group of people in different stages of life,False,,the image shows a group of people in different stages of life,התמונה מראה קבוצת אנשים בשלבים שונים של החיים,האדם מתבגר ועובר שינויים,0.40846168994903564,40.85,multilingual semantic embedding cosine similarity,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T09:59:08
10_1_36,10,1,36,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert.
Concept to illustrate: ""Change is made""
Task: Examine this image carefully. In one sentence, describe specific visual elements you observe in the image and explain how they demonstrate the concept above.
Important: Do NOT restate or rephrase ""Change is made"". Name what you actually see and connect it to the concept.
Answer:",the image shows a group of people in different stages of life,False,,the image shows a group of people in different stages of life,התמונה מראה קבוצת אנשים בשלבים שונים של החיים,כל דור והקשיים שלו זה משתנה גם במראה,0.3096819221973419,30.97,multilingual semantic embedding cosine similarity,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T09:59:14
10_1_37,10,1,37,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert.
Concept to illustrate: ""Change is made""
Task: Examine this image carefully. In one sentence, describe specific visual elements you observe in the image and explain how they demonstrate the concept above.
Important: Do NOT restate or rephrase ""Change is made"". Name what you actually see and connect it to the concept.
Answer:",the image shows a group of people in different stages of life,False,,the image shows a group of people in different stages of life,התמונה מראה קבוצת אנשים בשלבים שונים של החיים,אנחנו גדלים ומשתנים.,0.30839720368385315,30.84,multilingual semantic embedding cosine similarity,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T09:59:20
10_1_49,10,1,49,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert.
Concept to illustrate: ""Change is made""
Task: Examine this image carefully. In one sentence, describe specific visual elements you observe in the image and explain how they demonstrate the concept above.
Important: Do NOT restate or rephrase ""Change is made"". Name what you actually see and connect it to the concept.
Answer:",the image shows a group of people in different stages of life,False,,the image shows a group of people in different stages of life,התמונה מראה קבוצת אנשים בשלבים שונים של החיים,כי ברגע שמזדקנים אין דרך חזרה להיות צעיר,0.2966959476470947,29.67,multilingual semantic embedding cosine similarity,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T09:59:26
10_1_52,10,1,52,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert.
Concept to illustrate: ""Change is made""
Task: Examine this image carefully. In one sentence, describe specific visual elements you observe in the image and explain how they demonstrate the concept above.
Important: Do NOT restate or rephrase ""Change is made"". Name what you actually see and connect it to the concept.
Answer:",the image shows a group of people in different stages of life,False,,the image shows a group of people in different stages of life,התמונה מראה קבוצת אנשים בשלבים שונים של החיים,התמונה הזו ממחישה בצורה ישירה וברורה את רעיון השינוי,0.5154242515563965,51.54,multilingual semantic embedding cosine similarity,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T09:59:32
10_1_54,10,1,54,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert.
Concept to illustrate: ""Change is made""
Task: Examine this image carefully. In one sentence, describe specific visual elements you observe in the image and explain how they demonstrate the concept above.
Important: Do NOT restate or rephrase ""Change is made"". Name what you actually see and connect it to the concept.
Answer:",the image shows a group of people in different stages of life,False,,the image shows a group of people in different stages of life,התמונה מראה קבוצת אנשים בשלבים שונים של החיים,רואים את השינוי במראה לפי הגיל,0.2503361403942108,25.03,multilingual semantic embedding cosine similarity,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T09:59:38
10_1_58,10,1,58,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert.
Concept to illustrate: ""Change is made""
Task: Examine this image carefully. In one sentence, describe specific visual elements you observe in the image and explain how they demonstrate the concept above.
Important: Do NOT restate or rephrase ""Change is made"". Name what you actually see and connect it to the concept.
Answer:",the image shows a group of people in different stages of life,False,,the image shows a group of people in different stages of life,התמונה מראה קבוצת אנשים בשלבים שונים של החיים,התמונה מציגה את תהליך החיים של בן אדם מהילדות ועד הזקנה ומראה שהשינוי כבר התרחש בפועל ואי אפשר לחזור אחורה.,0.34812721610069275,34.81,multilingual semantic embedding cosine similarity,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T09:59:43
10_1_59,10,1,59,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert.
Concept to illustrate: ""Change is made""
Task: Examine this image carefully. In one sentence, describe specific visual elements you observe in the image and explain how they demonstrate the concept above.
Important: Do NOT restate or rephrase ""Change is made"". Name what you actually see and connect it to the concept.
Answer:",the image shows a group of people in different stages of life,False,,the image shows a group of people in different stages of life,התמונה מראה קבוצת אנשים בשלבים שונים של החיים,בחרתי בתמונה של האדם שמתבגר משום שבה בעיני הכי מורגש זה שאי אפשר להחזיר את הגלגל לאחור. ברגע שהאדם כבר מזדקן אי אפשר ״לבטל״ את השינוי שהוא עבר.,0.3711084723472595,37.11,multilingual semantic embedding cosine similarity,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T09:59:50
10_1_61,10,1,61,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert.
Concept to illustrate: ""Change is made""
Task: Examine this image carefully. In one sentence, describe specific visual elements you observe in the image and explain how they demonstrate the concept above.
Important: Do NOT restate or rephrase ""Change is made"". Name what you actually see and connect it to the concept.
Answer:",the image shows a group of people in different stages of life,False,,the image shows a group of people in different stages of life,התמונה מראה קבוצת אנשים בשלבים שונים של החיים,"זקנה הוא תהליך בלתי הפיך, לעמות צלחת שבורה שאפשר לדביק בחזרה או למחזר. פרח אפשר לשקם. ושיכרות הינה השפעה זמנית.",0.23194405436515808,23.19,multilingual semantic embedding cosine similarity,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T09:59:56
10_2_15,10,2,15,dataset/images/10_2.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert.
Concept to illustrate: ""Change is made""
Task: Examine this image carefully. In one sentence, describe specific visual elements you observe in the image and explain how they demonstrate the concept above.
Important: Do NOT restate or rephrase ""Change is made"". Name what you actually see and connect it to the concept.
Answer:",four different flowers in the field with a yellow flower,False,,four different flowers in the field with a yellow flower,ארבעה פרחים שונים בשדה עם פרח צהוב.,רואים שהפרח היה פורח ואלט לאט נבל כי לא השקו אותו,0.4947623014450073,49.48,multilingual semantic embedding cosine similarity,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T10:00:02
