stem,question_num,answer_num,participant_num,image_key,gold_he,gold_en,vlm_answer_he,vlm_answer_en,vlm_vs_gold_mpnet_he,vlm_vs_gold_labse_he,vlm_vs_gold_mpnet_en,vlm_vs_gold_bs_f1,subject_answer_he,subject_answer_en,subj_vs_gold_mpnet_he,subj_vs_gold_labse_he,subj_vs_gold_mpnet_en,subj_vs_gold_bs_f1,vlm_vs_subj_mpnet_he
10_1_11,10,1,11,10_1,שינוי באדם נגרם לאורך זמן,A change in a person is caused over time,תמונה זו מציגה את פניהם של אנשים שונים ברצף,This image shows the faces of different people in a row,0.332,0.4964,0.2521,0.8931,השינוי ניכר לעין,The change is apparent,0.715,0.5357,0.5587,0.9152,0.3847
10_1_14,10,1,14,10_1,שינוי באדם נגרם לאורך זמן,A change in a person is caused over time,תמונה זו מציגה את פניהם של אנשים שונים ברצף,This image shows the faces of different people in a row,0.332,0.4964,0.2521,0.8931,אבולציה של אנשים,People's Evolution,0.5487,0.4825,0.4824,0.8786,0.4337
10_1_21,10,1,21,10_1,שינוי באדם נגרם לאורך זמן,A change in a person is caused over time,תמונה זו מציגה את פניהם של אנשים שונים ברצף,This image shows the faces of different people in a row,0.332,0.4964,0.2521,0.8931,קצב היזדקנות של בן אדם,A person's ageing rate,0.6016,0.5891,0.553,0.9157,0.532
10_1_22,10,1,22,10_1,שינוי באדם נגרם לאורך זמן,A change in a person is caused over time,תמונה זו מציגה את פניהם של אנשים שונים ברצף,This image shows the faces of different people in a row,0.332,0.4964,0.2521,0.8931,כי רואים את השינוי וההתפתחות של האדם,Because one sees the change and development of the human being.,0.7872,0.5508,0.6902,0.9083,0.5094
10_1_24,10,1,24,10_1,שינוי באדם נגרם לאורך זמן,A change in a person is caused over time,תמונה זו מציגה את פניהם של אנשים שונים ברצף,This image shows the faces of different people in a row,0.332,0.4964,0.2521,0.8931,האדם הולך וגדל,The man is growing,0.7042,0.5725,0.3639,0.8937,0.5658
10_1_26,10,1,26,10_1,שינוי באדם נגרם לאורך זמן,A change in a person is caused over time,תמונה זו מציגה את פניהם של אנשים שונים ברצף,This image shows the faces of different people in a row,0.332,0.4964,0.2521,0.8931,האדם מתבגר ועובר שינויים,People grow up and go through changes.,0.8492,0.6356,0.6783,0.8994,0.5458
10_1_36,10,1,36,10_1,שינוי באדם נגרם לאורך זמן,A change in a person is caused over time,תמונה זו מציגה את פניהם של אנשים שונים ברצף,This image shows the faces of different people in a row,0.332,0.4964,0.2521,0.8931,כל דור והקשיים שלו זה משתנה גם במראה,Every generation and its difficulties It also changes in appearance,0.7671,0.3494,0.6379,0.8826,0.4214
10_1_37,10,1,37,10_1,שינוי באדם נגרם לאורך זמן,A change in a person is caused over time,תמונה זו מציגה את פניהם של אנשים שונים ברצף,This image shows the faces of different people in a row,0.332,0.4964,0.2521,0.8931,אנחנו גדלים ומשתנים.,We grow and change.,0.6821,0.4005,0.5676,0.9073,0.3693
10_1_49,10,1,49,10_1,שינוי באדם נגרם לאורך זמן,A change in a person is caused over time,תמונה זו מציגה את פניהם של אנשים שונים ברצף,This image shows the faces of different people in a row,0.332,0.4964,0.2521,0.8931,כי ברגע שמזדקנים אין דרך חזרה להיות צעיר,Because once you get old there's no going back to being young.,0.4853,0.411,0.4538,0.8774,0.3743
10_1_52,10,1,52,10_1,שינוי באדם נגרם לאורך זמן,A change in a person is caused over time,תמונה זו מציגה את פניהם של אנשים שונים ברצף,This image shows the faces of different people in a row,0.332,0.4964,0.2521,0.8931,התמונה הזו ממחישה בצורה ישירה וברורה את רעיון השינוי,This image directly and clearly illustrates the idea of change,0.5712,0.3847,0.4762,0.8958,0.6207
10_1_54,10,1,54,10_1,שינוי באדם נגרם לאורך זמן,A change in a person is caused over time,תמונה זו מציגה את פניהם של אנשים שונים ברצף,This image shows the faces of different people in a row,0.332,0.4964,0.2521,0.8931,רואים את השינוי במראה לפי הגיל,You can see the change in appearance by age.,0.7017,0.6017,0.6497,0.9184,0.3574
10_1_58,10,1,58,10_1,שינוי באדם נגרם לאורך זמן,A change in a person is caused over time,תמונה זו מציגה את פניהם של אנשים שונים ברצף,This image shows the faces of different people in a row,0.332,0.4964,0.2521,0.8931,התמונה מציגה את תהליך החיים של בן אדם מהילדות ועד הזקנה ומראה שהשינוי כבר התרחש בפועל ואי אפשר לחזור אחורה.,The picture shows a person's life process from childhood to old age and shows that change has already taken place and it is impossible to go back.,0.7584,0.5036,0.6799,0.8878,0.4589
10_1_59,10,1,59,10_1,שינוי באדם נגרם לאורך זמן,A change in a person is caused over time,תמונה זו מציגה את פניהם של אנשים שונים ברצף,This image shows the faces of different people in a row,0.332,0.4964,0.2521,0.8931,בחרתי בתמונה של האדם שמתבגר משום שבה בעיני הכי מורגש זה שאי אפשר להחזיר את הגלגל לאחור. ברגע שהאדם כבר מזדקן אי אפשר ״לבטל״ את השינוי שהוא עבר.,"I chose the image of the person who is growing up because in my eyes it is most noticeable that it is impossible to turn back the wheel. Once the person is already getting older it is impossible to ""cancel"" the change he has gone through.",0.6429,0.4146,0.5445,0.8645,0.4999
10_1_61,10,1,61,10_1,שינוי באדם נגרם לאורך זמן,A change in a person is caused over time,תמונה זו מציגה את פניהם של אנשים שונים ברצף,This image shows the faces of different people in a row,0.332,0.4964,0.2521,0.8931,"זקנה הוא תהליך בלתי הפיך, לעמות צלחת שבורה שאפשר לדביק בחזרה או למחזר. פרח אפשר לשקם. ושיכרות הינה השפעה זמנית.","Old age is an irreversible process, for a broken plate can be glued back or recycled. A flower can be rehabilitated. And drunkenness is a temporary effect.",0.6484,0.3252,0.5596,0.8697,0.3038
10_2_15,10,2,15,10_2,עונות השנה משפיעות על הטבע,Seasons affect nature.,"תמונה זו מראה ארבעה פרחים שונים בתחום, אשר ממחישים שינוי נעשה","This image shows four different flowers in the field, which illustrates change is made",0.4993,0.3344,0.4921,0.8694,רואים שהפרח היה פורח ואלט לאט נבל כי לא השקו אותו,You can see that the flower was blooming and slowly a harp because it wasn't watered.,0.3781,0.1441,0.2975,0.8561,0.5573
10_2_17,10,2,17,10_2,עונות השנה משפיעות על הטבע,Seasons affect nature.,"תמונה זו מראה ארבעה פרחים שונים בתחום, אשר ממחישים שינוי נעשה","This image shows four different flowers in the field, which illustrates change is made",0.4993,0.3344,0.4921,0.8694,שהפרח פורח,That the flower blooms,0.3709,0.2647,0.3626,0.8789,0.7352
10_2_19,10,2,19,10_2,עונות השנה משפיעות על הטבע,Seasons affect nature.,"תמונה זו מראה ארבעה פרחים שונים בתחום, אשר ממחישים שינוי נעשה","This image shows four different flowers in the field, which illustrates change is made",0.4993,0.3344,0.4921,0.8694,השינוי נעשה זה שניתן לראות התחלה וסוף ובין לבין רואים את התהליך ואת הקיצוניות.,Change is made that one can see beginning and end and in between one sees the process and the extreme.,0.3204,0.2128,0.3299,0.8626,0.4455
10_2_20,10,2,20,10_2,עונות השנה משפיעות על הטבע,Seasons affect nature.,"תמונה זו מראה ארבעה פרחים שונים בתחום, אשר ממחישים שינוי נעשה","This image shows four different flowers in the field, which illustrates change is made",0.4993,0.3344,0.4921,0.8694,רואים בבירור איך השינוי נעשה מתמונה לתמונה,You can clearly see how the change is made from picture to picture.,0.2332,0.2751,0.1853,0.8596,0.482
10_2_23,10,2,23,10_2,עונות השנה משפיעות על הטבע,Seasons affect nature.,"תמונה זו מראה ארבעה פרחים שונים בתחום, אשר ממחישים שינוי נעשה","This image shows four different flowers in the field, which illustrates change is made",0.4993,0.3344,0.4921,0.8694,פרח שמתחיל כעצוב ונובל פורח וזה תהליך של בני אדם,A flower that begins as a sad and a flowering novel and it's a human process,0.4775,0.2748,0.338,0.8616,0.6897
10_2_25,10,2,25,10_2,עונות השנה משפיעות על הטבע,Seasons affect nature.,"תמונה זו מראה ארבעה פרחים שונים בתחום, אשר ממחישים שינוי נעשה","This image shows four different flowers in the field, which illustrates change is made",0.4993,0.3344,0.4921,0.8694,אני רואה שינוי,I see a change.,0.2525,0.3357,0.212,0.909,0.5047
10_2_27,10,2,27,10_2,עונות השנה משפיעות על הטבע,Seasons affect nature.,"תמונה זו מראה ארבעה פרחים שונים בתחום, אשר ממחישים שינוי נעשה","This image shows four different flowers in the field, which illustrates change is made",0.4993,0.3344,0.4921,0.8694,יש פרח נובל ואי אפשר לשנות מפרח נובל לצומח,There is a Nobel flower and you can't change from a Nobel flower to a vegetable.,0.378,0.2345,0.243,0.8744,0.5612
10_2_35,10,2,35,10_2,עונות השנה משפיעות על הטבע,Seasons affect nature.,"תמונה זו מראה ארבעה פרחים שונים בתחום, אשר ממחישים שינוי נעשה","This image shows four different flowers in the field, which illustrates change is made",0.4993,0.3344,0.4921,0.8694,ממחיש את השינוי דרך פרח שצומח ואז נובל,Illustrates the change through a flower that grows and then Nobel,0.4766,0.3325,0.4061,0.8606,0.8288
10_2_41,10,2,41,10_2,עונות השנה משפיעות על הטבע,Seasons affect nature.,"תמונה זו מראה ארבעה פרחים שונים בתחום, אשר ממחישים שינוי נעשה","This image shows four different flowers in the field, which illustrates change is made",0.4993,0.3344,0.4921,0.8694,"הצמח כמל, הגיע לסוף תהליך ייעודו ותפקידו","The plant as a mel, has reached the end of its vocation process and function",0.4762,0.1541,0.3444,0.8591,0.6662
10_2_42,10,2,42,10_2,עונות השנה משפיעות על הטבע,Seasons affect nature.,"תמונה זו מראה ארבעה פרחים שונים בתחום, אשר ממחישים שינוי נעשה","This image shows four different flowers in the field, which illustrates change is made",0.4993,0.3344,0.4921,0.8694,רואים את השינוי,You see the change.,0.2801,0.3133,0.2576,0.9057,0.4325
10_2_46,10,2,46,10_2,עונות השנה משפיעות על הטבע,Seasons affect nature.,"תמונה זו מראה ארבעה פרחים שונים בתחום, אשר ממחישים שינוי נעשה","This image shows four different flowers in the field, which illustrates change is made",0.4993,0.3344,0.4921,0.8694,"בתמונה רואים שני שינויים, שינוי ראשון של הפרח עצמו שפרח וצמח אבל הסביבה נשארה זהה, ובתמונה השנייה הפרח נשאר נבול אבל הסביבה השתנתה. בשניהם השינוי נעשה.","In the picture you see two changes, a first change of the flower itself that flower and plant but the environment remains the same, and in the second picture the flower remains wilted but the environment has changed. In both the change is made.",0.4651,0.3257,0.4423,0.8528,0.7173
1_1_13,1,1,13,1_1,שיתוף פעולה בין עובדים מביא להשלמת משימה בהצלחה,Employee collaboration results in successful completion of a task,תמונה זו מראה שני אנשי צבא מתכוננים לטעון טיל על מטוס קרב,This image shows two military men preparing to load a missile onto a fighter jet,0.1804,0.3882,0.0618,0.8614,כי הם עבדים בצוות,They are slaves in the crew.,0.637,0.3804,0.2704,0.8806,0.321
1_1_21,1,1,21,1_1,שיתוף פעולה בין עובדים מביא להשלמת משימה בהצלחה,Employee collaboration results in successful completion of a task,תמונה זו מראה שני אנשי צבא מתכוננים לטעון טיל על מטוס קרב,This image shows two military men preparing to load a missile onto a fighter jet,0.1804,0.3882,0.0618,0.8614,יש פה עובדה צוות וזה נראה שהם עוד שניה מסיים,There's a fact here staff and it looks like they're about to finish.,0.5484,0.3748,0.4167,0.8506,0.3449
1_2_20,1,2,20,1_2,שיתוף פעולה בין מספר כלי עבודה מביא להשלמת העבודה בהצלחה,Cooperation between several tools results in the completion of the work successfully,התמונה הזו מראה בולדוזר ומשאית זבל.,This image shows a bulldozer and dump truck,0.1607,0.1876,0.2019,0.866,העבודה זה לשים משהו בתוך המשאית והיא הושלמה בהצלחה,The job is to put something inside the truck and it's successfully completed,0.4724,0.5045,0.479,0.8831,0.6112
1_2_32,1,2,32,1_2,שיתוף פעולה בין מספר כלי עבודה מביא להשלמת העבודה בהצלחה,Cooperation between several tools results in the completion of the work successfully,התמונה הזו מראה בולדוזר ומשאית זבל.,This image shows a bulldozer and dump truck,0.1607,0.1876,0.2019,0.866,כי סיימו את הפעולה של לשפוך מה שהיה בטרקטור למשאית,Because they ended the act of pouring what was in the tractor into the truck,0.2946,0.299,0.2392,0.8636,0.7064
1_2_36,1,2,36,1_2,שיתוף פעולה בין מספר כלי עבודה מביא להשלמת העבודה בהצלחה,Cooperation between several tools results in the completion of the work successfully,התמונה הזו מראה בולדוזר ומשאית זבל.,This image shows a bulldozer and dump truck,0.1607,0.1876,0.2019,0.866,בתמונה אני רואה שיש יהודים וזה אומר שהולכים לבנות משהו מסוים בית / בניין / פארק ועצם העובדה שהולכים לבנות משהוו חדש זה מעיר השראה ותקווה,In the picture I see that there are Jews and that means that they are going to build something specific a house / building / park and the very fact that they are going to build something new is inspiring and hopeful.,0.2537,0.2528,0.1748,0.8442,0.3487
1_2_48,1,2,48,1_2,שיתוף פעולה בין מספר כלי עבודה מביא להשלמת העבודה בהצלחה,Cooperation between several tools results in the completion of the work successfully,התמונה הזו מראה בולדוזר ומשאית זבל.,This image shows a bulldozer and dump truck,0.1607,0.1876,0.2019,0.866,"בחרתי בתמונה מספר 2 מפני שלא רואים עובדים בתמונה מה שמעיד שהפעולות שהיו צריכות להתבצע הסתיימו. בנוסף, כשהתמונה מצולמת מרחוק ניתן לראות את כל המרכיבים בשלמותם מה שמעיד שהעבודה הושלמה.","I chose picture number 2 because you don't see employees in the picture which indicates that the actions that needed to be done are done. In addition, when the image is taken remotely you can see all the components in their entirety which indicates that the work has been completed.",0.4804,0.4314,0.4377,0.8679,0.3338
1_2_49,1,2,49,1_2,שיתוף פעולה בין מספר כלי עבודה מביא להשלמת העבודה בהצלחה,Cooperation between several tools results in the completion of the work successfully,התמונה הזו מראה בולדוזר ומשאית זבל.,This image shows a bulldozer and dump truck,0.1607,0.1876,0.2019,0.866,"נראה שהטרקטור סיים לפנות למשאית, כי אין כלום בסביבה לפינוי.","The tractor seems to have finished turning to the truck, because there's nothing around for the evacuation.",0.0728,0.1803,0.1492,0.8583,0.7605
1_2_53,1,2,53,1_2,שיתוף פעולה בין מספר כלי עבודה מביא להשלמת העבודה בהצלחה,Cooperation between several tools results in the completion of the work successfully,התמונה הזו מראה בולדוזר ומשאית זבל.,This image shows a bulldozer and dump truck,0.1607,0.1876,0.2019,0.866,"מבין כל התמונות, בתמונה מספר2 אין דעה לגבי התוצאה. אם התוצאה היא הצלחה, רק תמונה מספר 2 וודאית. בכל תמונה אחרת ייתכן והמשימה הושלמה אך לא בהצלחה או שלא הושלמה כלל.","Of all the images, picture number 2 has no opinion on the outcome. If the result is success, only picture number 2 is certain. In any other image the task may have been completed but not successfully or not completed at all.",0.3145,0.3586,0.3514,0.8502,0.2329
2_1_36,2,1,36,2_1,עבודת צוות ושיתוף פעולה יעזרו לקבל החלטה,Teamwork and collaboration will help make a decision,התמונה הזו מראה קבוצה של אנשים שיושבים סביב שולחן,This image shows a group of people sitting around a table,0.3804,0.458,0.3479,0.8824,בחרתי בתמונה הזאת כיוון שהיא מעידה על חשיבות השיח והדיון במיוחד בעבודה,I chose this picture because it indicates the importance of discourse and discussion especially at work.,0.5521,0.43,0.489,0.8919,0.5247
2_2_11,2,2,11,2_2,הצוות שיתף פעולה בתהליך ההחלטה,The team cooperated in the decision process.,תמונה זו מראה קבוצת אנשים מוחאים כפיים,This image shows a group of people clapping,0.2809,0.311,0.229,0.8909,"כולם ביחד שמחים, לוחצים ידיים ומסכימים.","Everyone together is happy, shaking hands and agreeing.",0.3214,0.366,0.3525,0.8898,0.6082
2_2_13,2,2,13,2_2,הצוות שיתף פעולה בתהליך ההחלטה,The team cooperated in the decision process.,תמונה זו מראה קבוצת אנשים מוחאים כפיים,This image shows a group of people clapping,0.2809,0.311,0.229,0.8909,כי הם קבוצה של אנשים שדנים ביחד ומגיעים ביחד להחלטה,Because they're a group of people who discuss together and come together to decide,0.7209,0.4671,0.4881,0.8858,0.6245
2_2_14,2,2,14,2_2,הצוות שיתף פעולה בתהליך ההחלטה,The team cooperated in the decision process.,תמונה זו מראה קבוצת אנשים מוחאים כפיים,This image shows a group of people clapping,0.2809,0.311,0.229,0.8909,רואים קבוצה מרוצה ומגובשת,We see a happy and united team.,0.492,0.3477,0.4652,0.9187,0.6875
2_2_15,2,2,15,2_2,הצוות שיתף פעולה בתהליך ההחלטה,The team cooperated in the decision process.,תמונה זו מראה קבוצת אנשים מוחאים כפיים,This image shows a group of people clapping,0.2809,0.311,0.229,0.8909,כי כולם נראים מחייכים ומרוצים,Everyone looks happy and smiling.,0.2815,0.2642,0.2299,0.9002,0.4706
2_2_17,2,2,17,2_2,הצוות שיתף פעולה בתהליך ההחלטה,The team cooperated in the decision process.,תמונה זו מראה קבוצת אנשים מוחאים כפיים,This image shows a group of people clapping,0.2809,0.311,0.229,0.8909,שיש שותפות ביחד כצוות וההחלטה התקבלה כפה אחד וכולם נראים שמחים על כך.,That there was a partnership together as a team and the decision was made as one and everyone seems happy about it.,0.7496,0.4398,0.6666,0.8993,0.4463
2_2_18,2,2,18,2_2,הצוות שיתף פעולה בתהליך ההחלטה,The team cooperated in the decision process.,תמונה זו מראה קבוצת אנשים מוחאים כפיים,This image shows a group of people clapping,0.2809,0.311,0.229,0.8909,בחרתי במספר 2 כי נראה שחברי הצוות מאגדים ידיים על מנת להכריז כי התבצעה החלטה וכולם מאשרים אותה,I chose number 2 because the crew members seem to be gathering their hands to announce that a decision has been made and everyone approves of it.,0.6043,0.4213,0.4689,0.8791,0.3086
2_2_19,2,2,19,2_2,הצוות שיתף פעולה בתהליך ההחלטה,The team cooperated in the decision process.,תמונה זו מראה קבוצת אנשים מוחאים כפיים,This image shows a group of people clapping,0.2809,0.311,0.229,0.8909,"בעיני החלטה טובה מתקבלת בשיתוף פעולה ובצוות שכולם יוצאים מרוצים וגם אם לא בהכרח נוגע בדעה של כולם, עדיין יוצאים שמחים מהדיון ומהדרך שהכל קרה.","In my view, a good decision is made with the cooperation and team that everyone comes out happy and even if not necessarily touching everyone's opinion, still happy comes out of the discussion and the way it all happened.",0.7647,0.4856,0.6552,0.8726,0.41
2_2_20,2,2,20,2_2,הצוות שיתף פעולה בתהליך ההחלטה,The team cooperated in the decision process.,תמונה זו מראה קבוצת אנשים מוחאים כפיים,This image shows a group of people clapping,0.2809,0.311,0.229,0.8909,רואים שהקבוצה הגיעה להחלטה,The team has come to a decision.,0.6946,0.6105,0.615,0.9359,0.5339
2_2_21,2,2,21,2_2,הצוות שיתף פעולה בתהליך ההחלטה,The team cooperated in the decision process.,תמונה זו מראה קבוצת אנשים מוחאים כפיים,This image shows a group of people clapping,0.2809,0.311,0.229,0.8909,נראה שהם בידוק מסכמים את הדברים,Looks like they're finalizing things.,0.4315,0.2167,0.3623,0.8952,0.4489
2_2_22,2,2,22,2_2,הצוות שיתף פעולה בתהליך ההחלטה,The team cooperated in the decision process.,תמונה זו מראה קבוצת אנשים מוחאים כפיים,This image shows a group of people clapping,0.2809,0.311,0.229,0.8909,"בחרתי באופציה זו כי מרגיש לי שהאיחוד ידיים שכל חברי הקבוצה מושיטים מעידים על עידוד ""יציאה לדרך"" החלטה שהתקבלה","I chose this option because it feels to me that the unity of hands that all the members of the group extend attests to the encouragement of a ""go-away"" decision that was made",0.6555,0.4156,0.5524,0.8742,0.2976
2_2_23,2,2,23,2_2,הצוות שיתף פעולה בתהליך ההחלטה,The team cooperated in the decision process.,תמונה זו מראה קבוצת אנשים מוחאים כפיים,This image shows a group of people clapping,0.2809,0.311,0.229,0.8909,בגלל שכולם לוחצים ידיים מה שנותן קונוטציה של הסכמה של כול חברי הקבוצה,Because everyone shakes hands which gives a connotation of agreement of all members of the group,0.5911,0.3152,0.4233,0.885,0.4253
2_2_24,2,2,24,2_2,הצוות שיתף פעולה בתהליך ההחלטה,The team cooperated in the decision process.,תמונה זו מראה קבוצת אנשים מוחאים כפיים,This image shows a group of people clapping,0.2809,0.311,0.229,0.8909,נראה שכולם מחויכים ולחצו ידיים להסכמה,Everyone seems to be smiling and shaking hands to agree.,0.4974,0.3786,0.384,0.889,0.4569
2_2_25,2,2,25,2_2,הצוות שיתף פעולה בתהליך ההחלטה,The team cooperated in the decision process.,תמונה זו מראה קבוצת אנשים מוחאים כפיים,This image shows a group of people clapping,0.2809,0.311,0.229,0.8909,הם נראים שמחים ולכן זה נראה שהם הגיעו להסכמה,They seem happy and so it seems they have reached an agreement,0.3479,0.3289,0.3848,0.8838,0.477
2_2_27,2,2,27,2_2,הצוות שיתף פעולה בתהליך ההחלטה,The team cooperated in the decision process.,תמונה זו מראה קבוצת אנשים מוחאים כפיים,This image shows a group of people clapping,0.2809,0.311,0.229,0.8909,כי בתמונה שבחרתי כולם לוחצים ידיים כך שהם הסכימו,"Because in the picture I've chosen, everyone shakes hands so they've agreed.",0.4403,0.3988,0.448,0.8841,0.5583
2_2_29,2,2,29,2_2,הצוות שיתף פעולה בתהליך ההחלטה,The team cooperated in the decision process.,תמונה זו מראה קבוצת אנשים מוחאים כפיים,This image shows a group of people clapping,0.2809,0.311,0.229,0.8909,זה מראה את התמונת שלנו בבית חולים שאנחנו עוסים חשיבה קבוצתי ומגעים להסכמה ביחד,It shows our picture in a hospital that we massage group thinking and touch consensus together.,0.6099,0.2436,0.401,0.8705,0.488
2_2_32,2,2,32,2_2,הצוות שיתף פעולה בתהליך ההחלטה,The team cooperated in the decision process.,תמונה זו מראה קבוצת אנשים מוחאים כפיים,This image shows a group of people clapping,0.2809,0.311,0.229,0.8909,נראה כי כולם נמצאים בהסכמה על משהו מסוים,Everyone seems to be in agreement on something specific.,0.5134,0.4009,0.4361,0.9043,0.417
2_2_35,2,2,35,2_2,הצוות שיתף פעולה בתהליך ההחלטה,The team cooperated in the decision process.,תמונה זו מראה קבוצת אנשים מוחאים כפיים,This image shows a group of people clapping,0.2809,0.311,0.229,0.8909,יש עבודת צוות והחלטה פה אחד,There is team work and unanimous decision,0.87,0.5382,0.7371,0.9124,0.443
2_2_37,2,2,37,2_2,הצוות שיתף פעולה בתהליך ההחלטה,The team cooperated in the decision process.,תמונה זו מראה קבוצת אנשים מוחאים כפיים,This image shows a group of people clapping,0.2809,0.311,0.229,0.8909,נראה שכולם מסכימים יחד.,Everyone seems to agree together.,0.4959,0.3797,0.4767,0.9132,0.3752
2_2_41,2,2,41,2_2,הצוות שיתף פעולה בתהליך ההחלטה,The team cooperated in the decision process.,תמונה זו מראה קבוצת אנשים מוחאים כפיים,This image shows a group of people clapping,0.2809,0.311,0.229,0.8909,נראה שכולם מסכימים משום שהם לוחצים ידיים,Everyone seems to agree because they shake hands.,0.4038,0.3615,0.3688,0.8869,0.4079
